Communication_number,Social_unit,Part_exchange,Gesture_start_time,Duration_analysis_include,Mau_end_time,Outcome_time,Outcome,Sgn_ID,Rcp_ID,Signaller_age,Recipient_age,Goal_anon
100981,Sonso,1_1,51.6,Include,51.96,54.88,Exclude,ID_136,ID_101,33,15,Goal_18
100986b,Sonso,2_2,41.92,Include,44.88,45.08,GoalRecipient,ID_136,ID_109,33,13,Goal_1
330044,Kanyawara,1_1,272.027,Include,272.859,275.095,GoalRecipient,ID_135,ID_265,17,2,Goal_6
330044,Kanyawara,1_1,272.823,Exclude,273.49,275.095,GoalRecipient,ID_135,ID_265,17,2,Goal_6
330274,Kanyawara,1_1,355.034,Include,355.708,356.547,GoalRecipient,ID_135,ID_265,17,2,Goal_6
101068,Sonso,1_1,19.6,Include,21.72,27.76,TimeExcludeAmbiguous,ID_136,ID_138,33,5,Goal_6
101067,Sonso,1_1,2.64,Include,3.84,5.32,GoalRecipient,ID_136,ID_138,33,5,Goal_6
330218b,Kanyawara,2_2,742.472,Include,747.251,745.264,GoalRecipient,ID_135,ID_162,17,14,Goal_7
330217,Kanyawara,1_1,570.904,Include,571.578,571.998,GoalRecipient,ID_135,ID_162,17,14,Goal_7
330217,Kanyawara,1_1,566.878,Include,568.102,571.998,GoalRecipient,ID_135,ID_162,17,14,Goal_7
330216a,Kanyawara,1_2,531.62,Include,533.123,534.858,GoalSignaller,ID_135,ID_162,17,14,Goal_21
330215,Kanyawara,1_1,733.24,Include,733.711,735.022,GoalRecipient,ID_135,ID_166,17,13,Goal_10
330059b,Kanyawara,2_2,111.847,Include,112.844,113.329,GoalAmbiguous,ID_135,ID_176,17,19,Goal_13
330060,Kanyawara,1_1,238.612,ExcludeEnd,239.561,240.828,GoalAmbiguous,ID_135,ID_176,17,19,Goal_13
330061,Kanyawara,1_1,366.082,Include,367.517,369.642,GoalRecipient,ID_135,ID_176,17,19,Goal_10
330043,Kanyawara,1_1,6.186,Include,7.226,7.586,GoalRecipient,ID_135,ID_220,17,34,Goal_11
330244b,Kanyawara,Unclear,664.593,Include,665.305,663.848,Exclude,ID_137,ID_44,6,20,Goal_12
330244b,Kanyawara,Unclear,664.906,Include,665.813,663.848,Exclude,ID_137,ID_44,6,20,Goal_12
330244b,Kanyawara,Unclear,668.468,Include,669.171,663.848,Exclude,ID_137,ID_44,6,20,Goal_12
